JobNo,JobDate,StartTime,EndTime,TimezoneNo,CaseNo,JobType,ScheduledByEmail,JobLocName,JobLocAddress,JobLocCity,JobLocState,JobLocZip,SchedulingNotesHtml,ZoomMeetingId,ConfirmationNotesHtml,LastModified,LastModifiedBy,Entered,EnteredBy
4292,2009-06-02,10:00:00,14:00:00,1017,1027,821,,"Raymond V. Giudice, P.C","280 S. Atlanta Street
Suite 300",Roswell,GA,30075,,,,2009-06-16 12:20:00.523000,1000,2009-05-28 10:51:52.740000,1000
4294,2009-06-04,17:30:00,18:30:00,1017,1030,821,,Resurgens Orthopaedics - Sandy Springs,"5671 Peachtree Dunwoody Road

Suite 900",Atlanta,GA,30342,,,,2009-06-09 09:50:03.410000,1000,2009-05-28 13:49:37.203000,1000
4430,2009-06-30,10:00:00,15:00:00,1017,1027,821,,"Raymond V. Giudice, P.C","280 S. Atlanta Street
Suite 300",Roswell,GA,30075,,,Rescheduled to 07/16/2009,2009-06-25 14:31:04.990000,1000,2009-06-23 16:35:44.840000,1001
4449,2009-07-16,10:00:00,15:00:00,1017,1027,821,,"Raymond V. Giudice, P.C","280 S. Atlanta Street
Suite 300",Roswell,GA,30075,,,Rescheduled from 06/30/2009,2009-07-27 14:54:51.450000,1000,2009-06-25 14:31:04.990000,1000
4739,2009-08-20,10:00:00,12:00:00,1017,1027,821,,"Raymond V. Giudice, P.C","280 S. Atlanta Street
Suite 300",Roswell,GA,30075,,,,2009-09-04 11:26:25,1001,2009-08-17 15:43:14.510000,1001
4901,2009-09-25,15:30:00,16:30:00,1017,1027,821,,"Office of Suzanne J. Ferree, M.D.","1357 Hembree Road
Suite 240",Roswell,GA,30076,,,,2009-10-05 10:08:14.370000,1001,2009-09-21 09:55:59.553000,1001
4920,2009-10-08,17:00:00,18:00:00,1017,1027,821,,"Office of David A. Cohen, M.D.","11660 Alpharetta Highway
Suite 420",Roswell,GA,30076,,,Rescheduled to 10/15/2009,2009-10-06 15:22:12.247000,1001,2009-09-24 10:14:39.883000,1001
4975,2009-10-15,17:00:00,18:00:00,1017,1027,821,,"Office of David A. Cohen, M.D.","11660 Alpharetta Highway
Suite 420",Roswell,GA,30076,,,Rescheduled from 10/08/2009,2009-10-13 16:32:57.123000,1001,2009-10-06 15:22:12.247000,1001
5134,2009-11-23,17:00:00,18:00:00,1017,1027,821,,"Office of David A. Cohen, M.D.","11660 Alpharetta Hwy, Suite 420",Roswell,GA,30076-3879,,,,2009-12-07 15:27:31.220000,1001,2009-11-02 10:28:25.797000,1001
5706,2007-04-05,10:00:00,18:00:00,1017,1027,821,,,,,,,,,,2010-02-23 14:13:13.950000,1000,2010-02-22 15:23:12.293000,1000
